Roads
Mounthoolie Lane
Simone Weil Avenue
Telford Street
Ploughley Rd
Walwyn Rd
Lairg Road
Cloch Rd
Consett Rd
Temple Way
Nottingham Rd
London Road
Hertingfordbury Rd
Front St
Northgate Street
Grenoble Road
Park Terrace
Neville Street
Bishopthorpe Road
Brynglas Road
Northgate Street
Winchester Rd
Union Terrace
Harehills Lane
Ivy Lane
Eastbourne Rd
Warren St
Brackley Road
Huntly Street
Fox Lane
Balsham Road
Fox Lane
St Maurices Road
Trehafod Road
Broad Street
Holburn Lane
Scotsburn Rd
Tonbridge Rd
Shannon Way
Castledore Road
Terrick Rd
Ilchester Road
Fraserburgh Rd
Crescent Avenue
Fox Lane
Crescent Avenue
Felix Lane
Clasper Way
Ballifeary Road
Cambridge Road
Preston Rd
Simone Weil Avenue
Freezeland Lane
Trinity Crescent
Maidstone Road
Hampton Court Rd
Newgate Street
Caerfai Bay Road
Freezeland Lane
Thompsons Lane
Well Lane
Well Lane
Seafield Place
Russell Rd
Redcliffe Way
Bullwood Rd
Hexham Road
George Street
Long Street
Iolaire Road
Kent Street
Whitby Road
St James Boulevard
Shire Oak Road
Mill Lane
Consett Rd
Winchester Rd
Harrogate Road
Ilchester Road
Wressle Road
Folkestone Road
Fraserburgh Rd
New Dover Rd
Monks Way
Union Terrace
Well Lane
Wressle Road
Lairg Road
Brynglas Road
Ilchester Road
Whitchurch Road
Baldock Street
Temple Way
Town Lane
Academy Street
Long Street
Thompsons Lane
Iffley Road
Guild Street
Red Lane
St Maurices Road
New Dover Rd
Redcliffe Way
Abbey Row
Park Row
Withers Close
Station Rd
Dover Road
Southlands Road
Emerson Road
Hudson St
Iolaire Road
Asfordby Rd
Earls Avenue
Southend Avenue
Whitby Road
Quay Street
Helland Bridge
Harrogate Road
Bath Rd
Stroude Road
Thornton St
Haslemere Road
Main St
Castledore Road
Newmarket Road
Boroughbridge Road
Merthyr Road
Manor Close
Caxton Place
Crown Street
Crown Street
Ivy Lane
Pendwyallt Road
Ings Lane
Old Edinburgh Road
St Denys Road
Rhosddu Rd
Ross Road
High St
Prince Consort Road
North Promenade
